title,company,location,salary,job_requirements,job_description
(New Zealand) Beauty Therapist,AP Global Services Pvt. ltd.,Bengaluru,"262,500
						-
						291,667 ",Laser hair removal,"Roles and Responsibilities


We are looking for an experienced Beauty Therapist who take pride in their work. Some of the qualities that are a minimum are:

Self starter with initiative
Accurate time management
Fantastic Customer handling skills
Ensure hygiene environment with strict sterilization procedure
Accurate skin analyses
Proficient in Inventory management
Able to prepare client specific regimes and treatments
Upselling and cross-selling of products
Provide relevant information to clients detailing benefits of procedures


We expect you to be proficient in the following treatments:


Microdermabrasion
Micro-needling
Chemical Peels
Threading
Waxing
Facial
Clean-up
Anti-Tan
Body Massage
Advanced Skin Treatments


Desired Candidate Profile


Go getter with initiative


Minimum 2-3 years experience as a Beauty Therapist in a Cosmetology/Dermatology Clinic of repute.


Must be able to speak good English.


If you have experience in laser hair removal that would be a big plus


Perks and Benefits


Handsome Salary + Overtime + Commission + 4 Weeks Annual Leave + 10 Days Sick Leave & more that will be discussed at a later stage


Role: Beauty & Personal Care - Other
Industry Type: Beauty & Personal Care
Department: Sports, Fitness & Personal Care
Employment Type: Full Time, Permanent
Role Category: Beauty & Personal Care
Education
UG: Any Graduate
Key Skills
beauticiandermatology
BeautyPersonal CareSkin CareCosmetologylaser hair removalBeautician ActivitiesWaxingFacialBleachingLaserCosmeticsSkinAestheticsStylingChemical PeelsHair Styling"
(Saudi Arabia) Safety And Health Engineer,AP Global Services Pvt. ltd.,Bengaluru,"250,000
						-
						300,000 ",,"OFFICE TIMING: 10.00 AM TO 6.30 PM (MONDAY TO SATURDAY)


Urgently required for a leading Construction Company in Saudi Arabia.


-B.Sc/BA in Safety Management or relevant field Engineering, Science or equivalent.

-Competency of the OSH Practitioners with minimum 3 to 15 years experience.

-Follow up the implementation of laws and regulations in the field of occupational health, safety and environment in site. NEBOSH IGC (min. requirement).

-Managing, carrying out analysis of accident / incident statistics, identifying trends and suggesting improvement plans.

Role: Occupational Health & Safety - Other
Industry Type: Oil & Gas
Department: Environment Health & Safety
Employment Type: Full Time, Permanent
Role Category: Occupational Health & Safety
Education
UG: B.Sc
Key Skills
HealthOSHNEBOSH IGCSafety"
Web Developer,School Megamart,Avas Vikas Colony,"15,000
						-
						100,000 ",HTML,"School Megamart is aggressively hiring for the job profile of Web Developer for 10 open positions at Agra in Avas Vikas Colony locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
(Japan) Nurse,Salesman Corporation Private Limited Opc,Lucknow,"92,131
						-
						141,308 ",Healthcare,"Employer: Japanese Companies
Timeline (Candidate Deployment Date to Destination Country) : 30-April-2022 (Sourcing and to start the training)
Any other preference: Japanese Language N4 Certified. Study will Japanese Level N3
Accommodation Allowance: To Be Paid by Candidate
Performance Bonuses (Tentative Monthly Bonus): Maybe
Working Hours/ Day: 9 Hours
Contract Duration (Years): Depends on Employer (Preferably for 2 Years)Is the contract renewable: Yes
Probation Period (Years): May Be
Airfare to Home Country: Maybe
Overtime pay- 15 to 30% of hourly wages
Interview Mode: Online/offline

The interested candidates will be trained in the Japanese Language for 9 months by NSDC International (up to N3 level) and will be provided placement opportunities in Japan under SSW. The candidates from the Northeast are required to be enrolled.
Nursing Care Worker for Elderly Care Facilities"
(Saudi Arabia) Business Development Executive,J.K.Tech Services,Hyderabad,"88,800
						-
						155,400 ",,"As a Business Development Executive, you will be responsible for identifying and pursuing new business opportunities to increase revenue, market share, and profitability

Key Responsibilities:
Identify and qualify new business opportunities through research, networking, and prospecting.
Develop and maintain relationships with potential clients and stakeholders.
Collaborate with the sales team to develop proposals and presentations that align with clients' business needs and objectives.
Participate in industry events and conferences to promote the company and build relationships with potential clients.
Prepare and present business development reports to senior management on a regular basis.
Collaborate with other departments, including operations and finance, to ensure a seamless customer experience.
Analyze market trends and competitor activities to identify business opportunities.

Duration of job: 24 months

Refundable Deposit fee: 45000

Reason for deposit: Screening, Placement, documentation, Visa Fee; 

Note: ""The deposit will be Reimbursed after probation period of (3-6 months)""
"
(Saudi Arabia) Internal Audit - BFSI,AP Global Services Pvt. ltd.,Bengaluru,"66,667
						-
						141,667 ",Project management,"Roles and Responsibilities


Area of Expertise



- Candidate with Internal Audit, IFC,SOX, COSO, Process reviews, Compliance Reviews experience in Banks, Capital Markets, Asset Management Companies, Insurance & Fintech/Digital Payment companies.

- Candidate with specific Trade Finance and Treasury Audit experience.

- CA with experience in Financial Reconciliation / Bank & GL Account Reviews and can work for Finance & Accounts solution, and Projects.

- Candidates with FRM Background including handling of BCBS requirement at Bank.

- Candidate with experience in Compliance and AML audit.


Desired Candidate Profile

- CA/MBA/ CIA/ CISA/ SEMI/ CFA/ Semi Qualified and Graduate with relevant experience in Consultancy, Banks, Capital Markets, Insurance Companies, Asset Management Companies, Fintech, and Digital Payment Companies

- Experience Range can be between 2 to 10 years

- Open to Extensive Travel to Saudi Arabia (upto 90%)

- Strong Communication skills

- Base Location is Mumbai, Calcutta, Gurgaon, Bangalore, Chennai & Hyderabad.

1. Treasury Audit - ICIC/Axis/HDFC/Banks; Not open to Foreign Banks

2. Payment Companies - Paypal, Paytm, PineLabs

3. Insurance -Life Insurance/ Health Insurance

4. Capital Markets, Asset Management

- Big 4 / Other internal Audit firms - Must be doing audits for BFSI Sector

- CA / MBA / Mcom / Inter CA


Perks and Benefits


- 12 Months deployment to KSA

- On India Payroll and will be deployed at client site

- Per diem allowance of 50 USD per day (tax free); stay provided ; Frequent flybacks

- Opportunity to get into middle east payroll completely

7th April - Must be available for Personal round Location of Final Round - Mumbai OR Online (if candidates are from other cities)

The initial rounds will happen virtually / f2f

Role: Internal Auditor
Industry Type: Management Consulting
Department: Finance & Accounting
Employment Type: Full Time, Permanent
Role Category: Audit & Control
Education
UG: Any Graduate
PG: CA in Any Specialization, CS in Any Specialization, Integrated PG in Any Specialization, PG Diploma in Any Specialization, ICWA (CMA) in Any Specialization, MBA/PGDM in Any Specialization, M.Com in Any Specialization
Key Skills

internal audit internal auditor coso ifc sox"
General Manager,Benaka Gold,Jayanagar,"80,000
						-
						120,000 ",Team management,"Financial Planning and Analysis: You will be responsible for developing and implementing financial plans and budgets, analyzing financial data, and forecasting future financial performance.

Risk Management: You will be responsible for identifying, assessing, and managing the financial risks that the organization faces.

Compliance: You will be responsible for ensuring that the organization complies with all relevant laws, regulations, and industry standards.

Treasury Management: You will be responsible for managing the organization's cash flows, investments, and borrowings.

Accounting and Reporting: You will be responsible for managing the organization's accounting functions, including financial statements, tax compliance, and internal controls.

Strategic Planning: You will be responsible for developing and implementing strategic plans for the organization, including mergers and acquisitions, new products and services, and market expansion.

Leadership and Management: You will be responsible for leading and managing the finance team, setting goals and objectives, and ensuring that the team is working effectively and efficiently.

Communication and Stakeholder Management: You will be responsible for communicating with internal and external stakeholders, including investors, regulators, and customers, and building strong relationships with them.

Overall, as a general manager for finance or banking sector, you will play a critical role in ensuring the financial health and success of the organization."
Senior Java Developer,Altruist Technologies Pvt Ltd,Whitefield,"90,000
						-
						180,000 ",HTML,"Java Developer/Senior Developers/Tech Lead - Only Immediate Joiners

Walk-in Details :

Date : 17/04/2023  to 21/04/2023

Time: 9:00 AM to 6:00 PM

Walk-in Venue: Bengaluru / Bangalore

Venue Address: Altruist Technology, MFAR Silverline Tech Park Bangalore East, Opp. KTOP & EPIP Zone, 1st Floor, Whitefield, Bangalore 560037 (Next lane to Ginger Hotel, Backside of GE Campus)"
(USA) J1 Hospitality-Trainee,Magic Billion,Delhi-NCR,"95,616
						-
						159,360 ",,"Note: Please Read The JD Very Carefully
Stipend:
$9-$15 / Hour (Stipend Varies W.R.T. Hotel & State)
Receive A Minimum Of 32 Hours Per Week Of Training.
About Magic Billion:
We Are An International Talent Mobility Company Bridging The Gap Between Global Employers And The Indian Youth.
We Work :With Govt Of India, State Governments, And Skill Councils For International Placements. We Place Candidates Across Industries Such As Healthcare, Hospitality, QSR, Engineering, Retail Sales, Handwork, Food Technology, Agriculture, Meat Processing, Etc.
About The Program:
The U.S.A. J-1 Program In Hospitality Is A Training/Internship Program By The U.S. Department Of State. It Allows Students, Recent Graduates, And Young Professionals From Around The World To Come To The U.S. And Provide Them With The Experience In Hospitality To Jump-Start Their Careers. By Providing Participants With A Training/Internship Program In Hospitality, They Can Gain On-The-Job Training Experience By Learning The Latest Industry Trends And Best Practices From Some Of The Most Prominent Hotel Chains And Branded Travel And Tourism Corporations. Eligibility For Intern:
Currently Enrolled In Hospitality Course - Degree Or Diploma
Have Graduated No More Than 12 Months Prior To Their Program Begin Date.
Age: 18 - 25 Years
Eligibility For Trainees:
A Hotel Management Graduate With A Minimum Of 1 Year Of Work Experience In The Hospitality Industry OR
Any Graduate With 5 Years Of Work Experience In The Hospitality Industry.
Age: 18 - 35 Years
Language Requirements:
The Candidate Must Be Fluent In English. The Interns’ English Language Skills Must Be Verified By A Recognized English Language Test, By Signed Documentation From An Academic Institution Or English Language School, Or Through A Documented Interview Conducted By Program Sponsors Or A Third Party In Person, By Video Conferencing, Or By Web Camera.
IELTS Is Not Compulsory.
Program Fees Includes:
Screening And Placement With A Suitable Host Site.
Background And Document Check Of Candidates For Host Company And Of Host Company For Candidates.
Ongoing Support From The Sponsor’s National Office And Local Representative (Once In The US) And From Magic Billion (In India).
Complete Pre-Arrival/Departure Materials And Pre-Arrival/Departure Training
Program Fees Excludes:
J1 Visa Fees/SEVIS
Fees To The US Embassy.
Airfare To The US. Any Other Costs, Not Specifically Mentioned In The Inclusions Above.
Food & Accommodation In The US.
Insurance For 12 Months Fee To Sponsor - $2395
Process & Next Step:
Step 1 - Eligibility Check Pay An Advance Registration Fee Of INR 30,000/- Along With The Required Documents For Verification, Eligibility Check, And Interview Line-Up.
Step 2 - Interview Round
Interview Round With Magic Billion Team. Shortlisted Candidates Will Apply For PCC.
Step 3 - Interview Round 2
Interview Round With US Sponsor. Interview On Both Technical And Behavioral Aspects.
Step 4 - Interview Round 3 Interview Round With Host Hotel
Step 5 - Fly To The USA Filing For Visa Paperwork And Flying To The US.
* Mandatory Police Clearance Certificate Submission Prior To Employer Round (After Sponsor Round)."
Store Manager,Bann Studio,Rairu,"83,350
						-
						100,000 ",AutoCAD,"Work Experience - Minimum 6-8 Years 
Educational Qualification - B.Tech/ B.E. In Mechanical

•	Responsible for the complete preventive maintenance of bottling plant.
•	Increase site operational effectiveness, improve on project delivery, 
•	Drive Key Performance Indicators (KPIs)
•	Meet, maintain and improve upon OEE (Overall Equipment Effectiveness) 
•	Maintain assets, facility, parts inventory, monitor purchase orders, invoice approvals and manage departmental budget.
•	Provide training and continuous development to all maintenance personnel 
•	Verify performance evaluation of third-party goods and services rendered to the Company
•	Carry out preventive and predictive maintenance, not reactive 
•	Coordinate and perform duties during third party inspections
•	Keep track of breakdown loss and carry out actions/initiate systems to reduce breakdowns 
•	Manage existing and establish new procedures and systems in line with those of benchmark food manufacturing facilities 
•	Maintaining product quality standards
•	Maintaining EHS standards are adhered to and improved upon 
•	Maintain spare part inventory in organised manner
•	Any other work as may be required during the course of employment. 
•	Good knowledge of TPM maintenance, condition based maintenance & Breakdown maintenance.
•	Maintain discipline, Safety & 5’s Activates in shop floor.
•	Maintaining machine history cards and breakdown registers as per standards

"
Saudi Arabia- Pilot,AP Global Services Pvt. ltd.,Bengaluru,"7,083,333
						-
						7,500,000 ",,"Dear Candidate,
We have urgent overseas job openings for the below position for seaplane operations based in KSA.
POSITION : SEAPLANE PILOT
JOB REQUIREMENTS : At least have 1000 hours in single engine float or 500 hours in Cessna C208 Amphibian
Mode of interview will be online.
Attractive salary package and perks"
UI / UX Designer,Fluid Touch Private Limited,Vinayak Nagar,"500,000
						-
						900,000 ",UX design,"UI/UX Designer  (Mobile)


Job Description:

Fluid Touch Pvt. Ltd. is seeking a UX Designer to join our organization and be part of the development team behind award-winning apps. The ideal candidate should have a solid understanding of human interface design ability to conceptualize and design end-to-end user experiences of our mobile applications.

Responsibilities:

Translate concepts into user flows, wireframes, mockups, and prototypes that lead to intuitive user experiences
Research, conceive, sketch, and prototype experiences optimized for a wide range of devices and interfaces
Identify design problems and devise elegant solutions
Make strategic design and user-experience decisions related to core and new functions and features
Take a user-centered design approach and rapidly test and iterate your designs.
Gather and evaluate user requirements in collaboration with other team members and stakeholders

Skills & Qualifications:

4+ years of experience as a UI/UX Designer or a similar role
Expertise in standard UI/UX software such as Sketch and Figma is a must
A solid grasp of user-centered design (UCD)
Ability to clearly and effectively communicate design processes, ideas, and solutions
Be passionate about all things UI/UX and other areas of design and innovation
Research and showcase knowledge of the industry’s latest trends and technologies
"
Africa- Knitting Manager,AP Global Services Pvt. ltd.,Bengaluru,"266,667
						-
						341,667 ",Fabrics Knowledge,"Manage 30 knitting machines (circular + flat bed)
Candidate should be well versed in m/c settings for new fabric developments along with good management skills, maintenance & fault finding/quality procedures
Hands on person required
Ready passport.

Required Candidate profile

Monitor - production /performance /quality
Good English communication skills
Team will comprise of Operators / Fabric checkers etc
International work experience preferably in any African country"
(Australia) Construction Project Manager,AP Global Services Pvt. ltd.,Bengaluru,"458,333
						-
						791,667 ",Construction,"Lead a team of project management professionals to provide project oversight and management services Assist in the definition and implementation of the project management process Conduct regular reviews with the client leadership and execution
Role: Project Manager
Industry Type: Engineering & Construction
Department: Project & Program Management
Employment Type: Full Time, Permanent
Role Category: Other Program / Project Management
Education
UG: Any Graduate
Key Skills

DesignEngineeringConstruction ManagementProject ManagementReal Estate
BuildingConstructionCivil EngineeringConstruction EngineeringmetalsExecutionEnergyMining EngineeringInfrastructureEPCProject ControlPlanningpowerProject PlanningFeed"
Australia- Business Intelligence Analysts,AP Global Services Pvt. ltd.,Bengaluru,"416,667
						-
						500,000 ",Data analytics,"Evaluate market strategies by analyzing relevant products, markets, or trends. Identify and monitor current and potential customers using business intelligence data and tools. By analyzing technology trends,"
(Australia) CNC 1st Class Machinist,Salesman Corporation Private Limited Opc,Lucknow,"341,811
						
						 ",Lathe Machine Operator,"Employer: Perdaman Global Services (An NSDC International Recruitment Partner)
Timeline (Candidate Deployment Date to Destination Country) : 6 months
Personality Traits/ Specific (If any): Presentable
Accommodation Allowance: There will be assistance with bond, household items, and first 2-weeks rent (ie. until first full pay cycle)
Working Hours/ Day: 8 Hrs Per Day
Contract Duration (Years): 482 visa- 4 years - extendable - route to PR (Permanent Residency)
Is the contract renewable : Yes
Probation Period (Years): 6 months
Airfare to Home Country: No (Only entry one time)
Cost Borne by Employer: Assessment Agency Fee, Incidental Fee (Tickets, Visa-related costs), Medical Examination Fee, Trade Test (if applicable)
Interview Mode: Online or and Offline

ANZSCO 323214 – Metal Machinist (First Class). Studying drawings and specifications, inspecting parts for accuracy and clearance using precision measuring equipment, casting to fine tolerances using machinist tools 
to cut, press, grind, plane, bore, and drill metal, preparing machines for operations (setting up)"
(Dubai) SAP Audit Management Consultant,AP Global Services Pvt. ltd.,Bengaluru,"200,000
						-
						250,000 ",SAP,"Local Electricity and Water Authority

Roles and Responsibilities

Should have 7-8 Years with 2-3 SAP GRC and 2-3 SAP Audit Management project Implementation experience with sound Configurations and Customizations knowledge to meet the following requirements.
Establish a risk-based plan, prioritize audit activities, and align with the needs of the enterprise
Develop and document a plan for each engagement.
Identify, analyse, and document relevant information.
Communicate the engagements objectives, scope, conclusions, findings, and recommendations.
Monitor the disposition of results reported to management.
Establish a framework for risk assessment and prioritization.
Develop and document engagement work program.
Create different versions of working papers, audit reports, or another audit documents.
Ensure communication criteria are established through standard template.
Ensures consistency in reporting, automates report preparation, reduces elapsed time to report.
Establish a system to monitor the disposition of results.
Monitor the disposition of engagements.

Desired Candidate Profile

Candidate should be join earlier, as soon as offer and visa issued.
Immediate joiner will be preferred.

Perks and Benefits

The company will provide first 15 Days of accommodation only.
After that, Candidate must look for accommodation and their expenses.
One time up and down flight fare will be provided.
Visa will be issued for the candidate.
The salary only paid in AED (UAE currency).

Role: Software Development - Other
Industry Type: Electronic Components / Semiconductors
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate

Key Skills
Audit ManagementSAP GRC"
Website Designer,Honey Soft Solutions,Chaitanyapuri,"10,000
						-
						150,000 ",Logo designing,WEBSITE DESIGN AND DEVELOPMENT WITH GRAPHIC DESIGN 
(Dubai) Asst. Manager,AP Global Services Pvt. ltd.,Bengaluru,"166,667
						-
						250,000 ",Shipping logistics,"Manage daily operations, including overseeing shipments, tracking deliveries, and resolving any issues that may arise.
Ensure customer satisfaction by providing timely and accurate information and addressing any concerns or complaints.

Required Candidate profile

Analyze data to identify trends, improve processes & increase efficiency
Build & maintain strong relationships with existing client
Collaborate with sales team to identify & new business opportunities
Role: Shipping & Maritime - Other
Industry Type: Ports & Shipping
Department: Shipping & Maritime
Employment Type: Full Time, Permanent
Role Category: Shipping & Maritime - Other
Education
UG: Any Graduate
Key Skills
Forwarding Shipping Freight Logistics"
Senior Full Stack Developer,Pandey All In One Services Private Limited,Race Course,"500,000
						-
						700,000 ",CSS,"
Designing and developing a brand-new website from scratch using modern web development languages and frameworks.
Creating and implementing website design and layout.
Developing and maintaining databases and web applications.
Writing clean, maintainable, and efficient code using best software development practices.
Developing and maintaining website security protocols.
Optimizing website performance and speed to ensure optimal user experience.
Collaborating with graphic designers, copywriters, and other team members to ensure cohesive branding and messaging.
Troubleshooting and debugging website issues as needed.
Staying up-to-date with emerging trends and technologies in web development.

Requirements

B.E./B. Tech/Mtech/MCA.
Good Communication.
Good Aptitude towards learning.
 

Must have skills: 

Proven experience in designing and developing responsive websites using HTML, CSS, JavaScript, and PHP, Also experience with at least 1 backend programming language such as JavaScript, Java, etc.
Familiarity with the entire web application stack (frontend and backend).
Experience with web development frameworks such as React, or Vue.
Experience with  Gitflow.
Knowledge of version control tools such as Git.
Knowledge of web application frameworks and typical relational data stores.
Knowledge of microservices, build and deployment concepts.
Design and implementation of low-latency, high-availability, and performant applications.
Good understanding of the REST APIs, HTTP protocol, Web standards, and networking.
Strong communication skills and ability to work collaboratively with cross-functional teams.
 

Good to have:

Knowledge of Server cost management is preferred.
Knowledge of Load Balancing.
 




No. of opening's 3

Experience

3-4 yrs"
(UAE) Fusion HCM Techno-Functional,Salesman Corporation Private Limited Opc,Lucknow,"900,000
						-
						999,999 ",,"Employer: World Security
Timeline (Candidate Deployment Date to Destination Country): As soon as possible
Contract Duration (Years): 2 years
Contract renewable: Yes
Probation Period (Years): 6 months
Airfare to Home Country: Yes
Cost Borne by Employer- No

Job Purpose: 	
To ensure that business requirements are adequately captured, managed, analyzed and complied with during the software development and implementation cycle thereby ensuring value is added to the IT function within the organization.

Principal Responsibilities:
To undertake Software Quality Initiative ( CMMI ) to improve software development life cycle process (SDLC)
To undertake Application Software development and migration project
Should have Key/Primary Skills to support the business on Oracle Fusion Core HR, ORC and Absence
Secondary Skills: Oracle Fusion Payroll, Learn, Performance, Helpdesk, BPM Workflow, Oracle Fusion Fast Formula, BI Publisher, OTBI
To be the single point of reporting system faults and provide first line and second line support till the problem is resolved. 
To develop and implement the enhancements provided by BIM or end users
To guide third party and Oracle Fusion system analysts on multiple ways of eliciting stakeholder requirements including (but not limited to) Storyboarding, JAD sessions, Structured Interviewing techniques. 
To verify results of QA tests by test analysts thereby confirming compliance of software-to-Software Requirements Specification. 
To conduct cost estimation and quality assurance across lifecycle based on size and complexity of the application during software implementation 
To guide System Analysts in creating Software Requirements Specification from Business Requirements Specification thereby achieving high standard of quality.

Explain the Job Content (or) How the job is performed. State briefly.
The job holder will be required to use his analytical skill and knowledge of the business to convert business requirements into feasible IT solutions, assisted by a team of Fusion Techno-Functional Consultant. He/she will also be required to implement and compile with Environment, Health, Safety and Security policies and procedures
 
Job Content (or) How the job is performed. 
The job holder will be required to use his analytical skill and knowledge of the business to convert business requirements into feasible IT solutions, assisted by a team of Fusion Techno-Functional Consultant. He/she will also be required to implement and compile with Environment, Health, Safety and Security policies and procedures.
 "
Python Developer,Converse Placement Services,Mount Road,"100,000
						-
						900,000 ",,"Converse Placement Services is aggressively hiring for the job profile of Python Developer for 10 open positions at Chennai in Mount Road locality. Kindly go through the FAQs below to get all answers related to the given job.

        "
